table_name,row_count,tier,entity_class,java_refs,frontend_refs,last_sql_migration,verdict
search_click_log,17,OTHER,SearchClickLog,k12-resource/src/main/java/com/k12/resource/entity/SearchClickLog.java;k12-resource/src/main/java/com/k12/resource/mapper/SearchClickLogMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/SearchReadinessMapper.java,,46_search_p25_metrics_and_quality.sql,UNCLASSIFIED
search_engine_shadow_log,0,OTHER,SearchEngineShadowLog,k12-resource/src/main/java/com/k12/resource/entity/SearchEngineShadowLog.java,,48_search_p3_engine.sql,UNCLASSIFIED
search_history,16,OTHER,SearchHistory,k12-resource/src/main/java/com/k12/resource/entity/SearchHistory.java,,07_interaction.sql,UNCLASSIFIED
search_hot_keyword,42,OTHER,SearchHotKeyword,k12-resource/src/main/java/com/k12/resource/entity/SearchHotKeyword.java;k12-resource/src/main/java/com/k12/resource/mapper/SearchHotKeywordMapper.java,admin/views/search/SearchHotKeywords.vue,77_phase9c_search_hot_keyword.sql,UNCLASSIFIED
search_query_log,120,OTHER,SearchQueryLog,k12-resource/src/main/java/com/k12/resource/entity/SearchQueryLog.java;k12-resource/src/main/java/com/k12/resource/mapper/SearchQueryLogMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/SearchReadinessMapper.java;k12-resource/src/test/java/com/k12/resource/SearchExportAcceptanceTest.java,,48_search_p3_engine.sql,UNCLASSIFIED
share_record,0,OTHER,ShareRecord,k12-common/src/main/java/com/k12/common/entity/ShareRecord.java,,07_interaction.sql,UNCLASSIFIED
sms_code,32,OTHER,SmsCode,k12-common/src/main/java/com/k12/common/entity/SmsCode.java,utils/authAnalytics.ts;views/user/BindPhone.vue;views/user/Login.vue;views/user/Register.vue,06_auth.sql,UNCLASSIFIED
sys_config,30,OTHER,SysConfig,k12-common/src/main/java/com/k12/common/entity/SysConfig.java,,94_phase3i_d_legacy_read_410.sql,UNCLASSIFIED
sys_data_scope,7,OTHER,SysDataScope,k12-auth/src/main/java/com/k12/auth/admin/entity/SysDataScope.java;k12-common/src/main/java/com/k12/common/service/AdminPermissionService.java,,67_admin_user_phase6d.sql,UNCLASSIFIED
sys_menu,50,OTHER,SysMenu,k12-auth/src/main/java/com/k12/auth/admin/entity/SysMenu.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRbacMapper.java,,96_phase3j_content_center_menu.sql,UNCLASSIFIED
sys_operation_log,214,OTHER,SysOperationLog,k12-common/src/main/java/com/k12/common/entity/SysOperationLog.java,,51_admin_rbac_phase2.sql,UNCLASSIFIED
sys_permission,53,OTHER,SysPermission,k12-auth/src/main/java/com/k12/auth/admin/entity/SysPermission.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRbacMapper.java;k12-common/src/main/java/com/k12/common/mapper/SharedAdminRbacMapper.java,,96_phase3j_content_center_menu.sql,UNCLASSIFIED
sys_role,7,OTHER,SysRole,k12-auth/src/main/java/com/k12/auth/admin/entity/SysRole.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRbacMapper.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRolePermissionMapper.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminUserRoleMapper.java;k12-common/src/main/java/com/k12/common/mapper/SharedAdminRbacMapper.java,admin/store/adminAuth.ts;admin/views/roles/RoleList.vue;admin/views/users/AdminUserList.vue,96_phase3j_content_center_menu.sql,UNCLASSIFIED
sys_role_permission,131,OTHER,,k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRbacMapper.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRolePermissionMapper.java;k12-common/src/main/java/com/k12/common/mapper/SharedAdminRbacMapper.java,,96_phase3j_content_center_menu.sql,UNCLASSIFIED
sys_search_document,457,SEARCH_INDEX,SysSearchDocument,k12-resource/src/main/java/com/k12/resource/entity/SysSearchDocument.java;k12-resource/src/main/java/com/k12/resource/mapper/SearchReadinessMapper.java;k12-resource/src/test/java/com/k12/resource/SearchExportAcceptanceTest.java,admin/views/search/SearchIndexStatus.vue,41_sys_search_document.sql,KEEP
sys_search_intent_rule,131,OTHER,SysSearchIntentRule,k12-resource/src/main/java/com/k12/resource/entity/SysSearchIntentRule.java,,44_search_p2_lexicon.sql,UNCLASSIFIED
sys_search_redirect,5,OTHER,SysSearchRedirect,k12-resource/src/main/java/com/k12/resource/entity/SysSearchRedirect.java,,76_phase9b_search_lexicon.sql,UNCLASSIFIED
sys_search_synonym,106,OTHER,SysSearchSynonym,k12-resource/src/main/java/com/k12/resource/entity/SysSearchSynonym.java,,44_search_p2_lexicon.sql,UNCLASSIFIED
sys_sensitive_word,12,OTHER,SysSensitiveWord,k12-common/src/main/java/com/k12/common/entity/SysSensitiveWord.java;k12-resource/src/main/java/com/k12/resource/mapper/QualityAnalyticsMapper.java;k12-resource/src/main/java/com/k12/resource/mapper/SysSensitiveWordMapper.java,,85_phase8_quality_governance.sql,UNCLASSIFIED
sys_user_role,2,OTHER,SysUserRole,k12-auth/src/main/java/com/k12/auth/admin/entity/SysUserRole.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminRbacMapper.java;k12-auth/src/main/java/com/k12/auth/admin/mapper/AdminUserRoleMapper.java;k12-common/src/main/java/com/k12/common/mapper/SharedAdminRbacMapper.java;k12-common/src/main/java/com/k12/common/service/AdminPermissionService.java,,81_phase2_step1_baseline.sql,UNCLASSIFIED
topic_album,4,OTHER,TopicAlbum,k12-common/src/main/java/com/k12/common/entity/TopicAlbum.java,,15_topic_zone.sql,UNCLASSIFIED
topic_album_item,13,OTHER,TopicAlbumItem,k12-common/src/main/java/com/k12/common/entity/TopicAlbumItem.java,,15_topic_zone.sql,UNCLASSIFIED
topic_resource,20,COMPAT,TopicResource,k12-common/src/main/java/com/k12/common/entity/TopicResource.java;k12-resource/src/main/java/com/k12/resource/adapter/TopicSourceAdapter.java;k12-resource/src/main/java/com/k12/resource/legacy/LegacyReadApi410Service.java;k12-resource/src/main/java/com/k12/resource/service/UnifiedReadFeatureFlagService.java;k12-resource/src/test/java/com/k12/resource/adapter/ResourceMainDedicatedZoneAdapterTest.java,admin/constants/resourceSourceTypes.ts;admin/views/content/TopicOps.vue;api/resourceGateway.ts;views/feature/TopicResourceDetail.vue,94_phase3i_d_legacy_read_410.sql,KEEP
